,link,title
2968,http://pittsburghpa.gov/publicsafety/blotterview/2968,Downtown Public Safety Center Officers Make Gun Arrest  in the Central Business District - 09.04.2024
2965,http://pittsburghpa.gov/publicsafety/blotterview/2965,"Downtown High-Visibility Patrol Stats for August 26-September 1, 2024 - 09.03.2024"
2967,http://pittsburghpa.gov/publicsafety/blotterview/2967,"Violence Prevention Unit Detectives Arrest Three, Recover Firearms During Traffic Stop - 09.03.2024"
2966,http://pittsburghpa.gov/publicsafety/blotterview/2966,South Side Entertainment Patrol Arrests and Citations August 28 - September 1 - 09.03.2024
2964,http://pittsburghpa.gov/publicsafety/blotterview/2964,Collision Investigation Unit Detectives Investigate Collision on East Carson Street - 09.02.2024
2961,http://pittsburghpa.gov/publicsafety/blotterview/2961,Pittsburgh Police Detectives Investigate Fatal Overnight Shooting in East Hills - 09.01.2024
2963,http://pittsburghpa.gov/publicsafety/blotterview/2963,UPDATE: Pittsburgh Police Investigate Death of Young Female in Allegheny Center - 09.01.2024
2962,http://pittsburghpa.gov/publicsafety/blotterview/2962,"Pittsburgh Police, Fire, and EMS Respond to Non-Fatal Shooting in Homewood - 09.01.2024"
2960,http://pittsburghpa.gov/publicsafety/blotterview/2960,Pittsburgh Police Investigate Fatal Shooting in Crawford-Roberts - 08.31.2024
2959,http://pittsburghpa.gov/publicsafety/blotterview/2959,"Pittsburgh Police, Fire, and EMS Respond to Shooting Incident in Oakland, One Injured - 08.30.2024"
2956,http://pittsburghpa.gov/publicsafety/blotterview/2956,UPDATE: Special Victims Unit Detectives Are Searching for Missing Woman - 08.29.2024
2958,http://pittsburghpa.gov/publicsafety/blotterview/2958,"UPDATE: Pittsburgh Police, Fire, and EMS Respond to a Body Found in the Monongahela River - 08.29.2024"
2957,http://pittsburghpa.gov/publicsafety/blotterview/2957,SVU Detectives Search for Missing Woman - 08.29.2024
2955,http://pittsburghpa.gov/publicsafety/blotterview/2955,"Pittsburgh Police Investigate Shooting Incident in Northview Heights, One Injured - 08.28.2024"
2954,http://pittsburghpa.gov/publicsafety/blotterview/2954,UPDATE: Pittsburgh Police Searching for Missing Juvenile Boy - 08.27.2024
2953,http://pittsburghpa.gov/publicsafety/blotterview/2953,"Downtown High-Visibility Patrol Numbers for August 19-25, 2024 - 08.27.2024"
2952,http://pittsburghpa.gov/publicsafety/blotterview/2952,"UPDATE: Police, Fire, and EMS Respond to Morning Collision on West Liberty Avenue - 08.27.2024"
2950,http://pittsburghpa.gov/publicsafety/blotterview/2950,EMS Locates Injured Adult in Frick Park - 08.26.2024
2951,http://pittsburghpa.gov/publicsafety/blotterview/2951,PBF Dispatched to Two Vehicle Fire Incidents in Three Days - 08.26.2024
2949,http://pittsburghpa.gov/publicsafety/blotterview/2949,UPDATE: Pittsburgh Police Search for Missing and Endangered Man - 08.25.2024
